abrasives	Abrasives remove material from a workpiece.
high-security-seals	High-security seals require a bolt or wire cutter, or a heavy-duty tool for removal.
tamper-evident-seals	Tamper-evident seals show evidence of tampering to indicate when property or cargo has been compromised in shipping, agricultural, law enforcement, storage, and utility applications.
asset-tracking-protection	Asset tracking and protection products help track valuable assets and protect sensitive data.
video-surveillance	Video surveillance cameras and systems record strategic areas to deter theft, vandalism, and other incidence of crime.
video-surveillance-cameras-systems	Video surveillance cameras and systems record strategic locations to deter theft and vandalism.
vehicular-video-surveillance	Vehicular video surveillance cameras and systems record parking lots, garages, or footage in or around individual vehicles to deter theft and vandalism.
video-surveillance-devices-accessories	Video surveillance accessories include parts and components that enhance recording capabilities.
test-instruments	Test instruments and diagnostic test equipment help users isolate and solve problems and maintain vital processes, before they interrupt their work or cause hazards in the facility.
electrical-power-testing	Electrical power testing devices ensure power systems and equipment operate reliably and safely, and reduce maintenance downtime.
multimeters	Multimeters use color-coded test leads to measure voltage, current, and resistance in circuits, components, wall outlets, and other electrical devices.
accessories-for-multimeters-clamp-meters	Accessories pair with compatible multimeters and clamp meters to expand their functionality and enhance performance.
clamp-meters	Clamp meters have jaws that clamp, loop around, or surround conductors, wires, and cables to measure electrical currents without terminating power.
resistance-testers	Resistance testers send voltage pulses through electrical parts and equipment and measure the corresponding resistance to find insulation deterioration, leaks, and shorts.
test-leads-test-probes	Test leads are insulated wires that connect to multimeters or clamp meters while test probes make contact with testing points, carrying a signal to the meter to verify measurement.
power-quality-testers	Power quality testers use insulated test leads to conduct several kinds of testing, such as detecting and measuring voltage, current, power factor, and energy waste in electrical systems and equipment.
voltage-detectors-voltage-testers-continuity-testers	Voltage detectors and testers alert the user when voltage is detected, while continuity testers indicate when electrical lines are live and have continuity, or power.
circuit-tracers-breakers	Circuit tracers and breakers identify wires, matching them to their specific circuit breakers in panel boxes, or find energized and de-energized wires, blown fuses, or test fixtures without disconnecting the power supply.
utility-ground-fault-locators	Utility and ground fault locators detect the location or condition of buried utility lines or cable to diagnose damage or wear, or determine whether areas are safe for excavation.
appliance-medical-testers	Appliance and medical testers perform measurements such as insulation resistance and leakage current, and perform ground-bond tests on equipment in hospitals and healthcare facilities, as well as appliances and tools used in industrial,…
receptacle-gfci-testers-analyzers	Receptacle and GFCI (ground-fault circuit interrupter) testers and analyzers plug into outlets to verify they are in good working order.
high-voltage-testers	High-voltage testers identify areas where insulation is failing, detect performance problems, or the presence of voltage to keep electrical systems functioning properly and protect people from hazards, providing measurements in kilovolts…
phasing-motor-rotation-meters	Phasing and motor rotation meters connect to systems to check motor status and to verify they are installed properly and in good working order.
cable-height-meters	Cable height meters calculate the area between overhead cables and wires and verify their distance from the ground.
installation-testers	Installation testers connect to power systems and infrastructure and test various parameters and functions of the electrical system.
test-instrument-carrying-cases	Test instrument carrying cases protect electrical testing equipment and keep it safe when not in use.
ac-current-line-splitters	AC current line splitters measure the amount of voltage used by electrical tools, devices, and household appliances.
portable-oscilloscopes-accessories	Portable oscilloscopes and accessories verify electrical systems or inverter-type motor drive systems are operating as intended.
energy-management-supplies	Energy management systems connect to electrical systems and equipment for ongoing monitoring and diagnostics.
pressure-vacuum-measurement	Pressure and vacuum instruments verify absolute, static, and differential pressure in positive pressure and vacuum systems.
pressure-vacuum-gauges	Pressure and vacuum gauges check the system pressure of liquids and gases.
differential-pressure-gauges-indicators-transducers	Differential pressure gauges, indicators, and transducers measure the difference in pressure between two points in a system.
pressure-vacuum-transmitters	Pressure and vacuum transmitters feature specific connections that attach to pipes or other process systems.
differential-pressure-transmitters	Differential pressure transmitters verify the difference between two points in a system and transmit the reading for storage and analysis.
manometers-pressure-meters	Manometers and pressure meters verify measurements of pressure, airflow, air velocity, and related system conditions.
submersible-level-transmitters	Submersible level transmitters install at the bottom of a tank, well, or other liquid container.
pressure-gauge-transmitter-accessories	Pressure gauge and transmitter accessories enhance the performance of pressure gauges.
airflow-static-pressure-accessories	Airflow and static pressure accessories aid in airflow measurement and overall maintenance.
temperature-and-environmental-measurement	Temperature and environmental measurement products track changes in humidity, temperature, pressure, and other environmental factors.
infrared-temperature-measurement	Infrared temperature measurement devices detect and measure the frequency and intensity of infrared radiation emitted by objects in the environment.
environmental-measurement	Environmental measurement products evaluate various factors that affect the quality of an environment and provide readings for users.
temperature-probes-components	Temperature probes monitor air, liquid, surface, or food temperatures while probe components repair or modify probes for use.
handheld-benchtop-temperature-meters	Handheld and benchtop temperature meters have digital displays that show temperature readings.
fixed-location-thermometers-thermowells	Fixed-location thermometers and thermowells install in a permanent location to measure and monitor temperatures.
temperature-calibrators	Temperature calibrators regulate temperature-sensing equipment to precise temperatures or confirm that equipment is already calibrated correctly.
clip-on-pocket-thermometers	Clip-on and pocket thermometers are small, lightweight, and offer fast response times for on-the-spot temperature checks.
controlled-critical-environment-thermometers-monitoring	Controlled critical environment thermometers and monitoring equipment verify temperatures in hospitals, clinics, and laboratories and are kept within specified ranges to prevent samples from spoiling.
temperature-strips-dots	Temperature strips and dots stick to surfaces and change color when specific temperatures are reached or surpassed.
liquid-in-glass-laboratory-thermometers	Liquid-in-glass thermometers are used in laboratory and testing applications.
digital-temperature-humidity-switches	Digital temperature and humidity switches measure and control temperature and relative humidity.
temperature-humidity-transmitters	Temperature and humidity transmitters sense and transmit readings in a broad range of applications.
voice-data-testing	Voice and data testing instruments analyze voice, data, and video copper and fiber optic cables to ensure they are in good working order and to identify faults.
copper-cable-testing-instruments	Copper cable testing instruments evaluate voice, data, audio-video, and Ethernet cables and connectors for problems such as continuity, opens, shorts, and miswired installations.
tone-generators-and-speaker-probes-kits	Tone generators and speaker probes use built-in sensors and insulated test leads to analyze cables, determine their location within a system, test for continuity, and identify faults.
fiber-optic-cable-testing-instruments	Fiber optic cable testing instruments evaluate whether fiber optic cables are installed correctly and measure the live optical energy transmitted through them.
telephone-line-test-sets	Telephone line test sets have ports that accommodate telephone lines with RJ (registered jack) connectors or use clips with leads that test telephone binding posts for dial tone.
time-domain-reflectometers	Time domain reflectometers (TDR) detect splices, taps, bends, shorts, and similar faults in copper-core cables.
copper-cable-testing-accessories	Copper cable testing accessories include items used with compatible brand and series of copper cable testing equipment to enhance line testing and diagnostics.
fiber-optic-cable-testing-accessories	Fiber optic cable testing accessories are used with compatible fiber optic test instruments to enhance line testing and diagnostics for fiber optic cables and networks.
replacement-parts-for-construction-and-road-material-testing	Replacement parts for construction and road material testing equipment replace worn or broken parts and help keep equipment operating efficiently.
leak-testing	Leak testing equipment detects the presence of leaks from pressurized systems.
ultrasonic-leak-detectors	Ultrasonic leak detectors use specialized microphones to detect the high-frequency sound common with most pressurized leaks.
ultrasonic-leak-detector-accessories	Ultrasonic leak detector accessories enhance the functionality of leak detectors, improve existing capabilities, or ease setup and transport.
acoustic-imaging-cameras	Acoustic imaging cameras combine a video camera with a highly specialized array of microphones to create a visual overlay of potential leaks over a live video feed.
vibration-testing	Vibration testing equipment detects and measures movement using an internal or external sensor that senses the force of the vibration.
vibration-meters	Vibration meters measure the velocity and acceleration of industrial machinery by observing its vibration.
vibration-meter-accessories	These vibration meter accessories connect, protect, and support vibration meters while in use or during transport.
sound-testing	Sound testing equipment measures the acoustic energy or sound pressure level (SPL) emitted from equipment.
sound-level-meters-kits	Sound level meters measure the intensity of sound energy to help prevent work-related hearing loss.
sound-level-calibrators	Sound level calibrators are finely tuned to emit specific sounds at a specific volume or sound pressure level (SPL).
light-testing	Light testing equipment detects and measures various qualities of a light source such as intensity, spectrum, and polarization.
light-meters	Light meters measure the light shining on their sensors and provide readings in lumens, lux, or candela.
video-inspection-equipment	Video inspection equipment provides visibility to dangerous or cramped spaces, allowing users to inspect them.
borescope-accessories	Borescope accessories adapt the borescope to allow inspection of a variety of spaces, protect it from damage, offer ergonomic support, connect it to probes or cameras, or provide power.
rotational-speed-testing	Rotational speed testing instruments monitor machine health by counting revolutions, or pinpointing issues before they cause downtime.
tachometers	Tachometers measure rotational speed using light, lasers, magnetism, or direct contact with the spinning component.
tachometer-sensors	Tachometer sensors, or remote sensors, detect the revolutions of a machine part or tool while connected to a panel mount tachometer or stroboscope.
tachometer-accessories	These accessories connect, support, or adapt tachometers to measure a variety of objects.
stroboscopes	Stroboscopes produce rapid, even pulses of light at specific frequencies to verify that equipment is operating correctly.
stroboscope-accessories	These accessories enhance visibility or functionality on a stroboscope and protect the device.
thickness-testing	Thickness testing equipment measures the thickness of coatings applied to a base material using sound, magnetism, and direct resistance probing.
ultrasonic-thickness-gauges-accessories	Ultrasonic thickness gauges and accessories use high-frequency sound to measure the thickness of surface coatings.
coating-thickness-gauges-accessories	Coating thickness gauges and accessories measure the depth of surface coatings.
force-testing	Force testing equipment measures various forces from equipment and ensures they are operating within normal parameters.
nonelectrical-properties-testing	Cleaning efficiency meters measure the biological matter in a sample.
conductivity-level-equipment	Conductivity level equipment detects the level of liquid in one or more tanks or vats, using probes that signal level changes to a controller.
cleaning-efficiency-meters-accessories	Cleaning efficiency meters and accessories test and measure the biological residue on a surface by testing for the presence of ATP (adenosine triphosphate).
stopwatches-timers	Stopwatches and timers precisely measure and count down time to analyze the performance of a system, process, or function and ensure that it is within acceptable parameters.
radiation-detectors-accessories	Radiation detectors and accessories verify the presence of nuclear radiation and measure its intensity.
hydronic-manometers	Hydronic manometers measure the pressures and temperatures found within hydronic heating and cooling systems to verify they are operating within acceptable parameters.
magnetic-field-meters	Magnetic field meters detect and measure the strength of magnetic fields generated by equipment and provide a visual reading for quick and accurate diagnosis of system issues.
adhesion-testers-accessories	Adhesion testers measure the strength of bonding agents, paints, or cements.
instrument-training	These online and in-person training courses provide varying levels of instruction on topics like using test equipment in the field.
milk-pasteurization-testers-accessories	Milk pasteurization testers and accessories work together to ensure that milk is pasteurized.
samplers	Samplers provide a safe, effective, single-step method to simplify sample collection processes.
coating-pin-hole-detectors	Coating pinhole detectors identify the presence of holes, gaps, and other discontinuities in the surface coatings of metallic items.
liquid-level-temperature-controls	Liquid level and temperature controllers monitor and adjust the level and temperature of a fluid in a tank.
soluble-salt-testers-accessories	Soluble salt testers and accessories work together to analyze samples taken from a surface, verify the presence of salts, and provide an accurate measurement of the salts found in the sample.
air-movement-quality-testing	Air movement and quality testing equipment measures the speed of air moving through an HVAC system and analyzes its composition to verify conditions are safe for occupants.
air-movement-testing	Air movement testing equipment detects and measures the flow of air across their sensors and helps configure ventilation systems.
indoor-air-quality-testing	Indoor air quality testing equipment analyzes interior air and provides measurements for various factors that affect indoor air quality.
data-recording	Data recording equipment helps to store, organize, and accurately document measurements and other important data.
nonelectrical-properties-data-loggers-accessories	Non-electrical properties data loggers and accessories record and store measurements and data readings for later review and analysis.
circular-chart-recorders-accessories	Circular chart recorders and accessories connect to compatible sensors and help users document their readings over a specific period.
electrical-properties-data-loggers	Electrical properties data loggers detect, measure, and record various electrical properties such as current, voltage, frequency, and phase.
strip-chart-temperature-recorders-accessories	Strip chart temperature recorders and accessories help users record high-resolution measurements of temperature over time.
recorder-sensor-kits	Recorder sensor kits connect to compatible data-recording test equipment and provide additional inputs to measure and record, enhancing the accuracy of test results.
combustion-testing	Combustion testing equipment analyzes combustion gases and helps identify issues like rich/lean combustion or lack of airflow.
combustion-analyzers	Combustion analyzers measure the various factors of a combustion exhaust stream and provide a visual readout of the levels of different compounds, chemicals, and other factors such as temperature.
combustion-analyzer-accessories	Combustion analyzer accessories aid in testing and analyzing the composition of exhaust gases.
concrete-asphalt-pavement-testing	Concrete, asphalt, and pavement testing equipment helps users verify the composition and strength of their paved surfaces.
concrete-testing	Concrete testing equipment aids users in testing concrete composition, mixing, and load testing.
electronic-bench-testing	Electronic bench testing verifies electrical test measurements with more precision than compact models or protects electrical components from electrostatic discharge.
bench-type-digital-multimeters	Bench type digital multimeters are heavier and larger than handheld multimeters, but they measure current, voltage, frequency, and resistance with more precision than compact models.
battery-capacity-analyzers-accessories	Battery capacity analyzers determine the remaining voltage on critical battery backups like security systems and UPSs (uninterrupted power supplies) while their accessories support the analyzers during testing.
lcr-meters	LCR meters verify the inductance (L), capacitance (C), and resistance (R) of the device under test, determining the impedance based off those readings.
decade-boxes	Decade boxes connect to test equipment and modify the signals they receive by varying their capacitance, resistance, or inductance without batteries or connecting to main power.
electronic-loads	Electronic loads connect a power source to the equipment being tested, allowing the user to program and simulate real-world loads and test performance.
bench-testing-power-supplies-accessories	Bench testing power supplies and accessories convert, regulate, protect, and monitor current and voltage.
antistatic-safety-equipment	Antistatic safety equipment furnishes a workspace, equips employees, or tests for static discharge to protect sensitive electronics from damage during handling.
bench-pressure-calibrators	Bench pressure calibrators verify that a pressure gauge, switch, or transducer is measuring correctly, and adjust the unit accordingly when a discrepancy is detected.
function-pulse-generators	Function and pulse generators work in tandem with an oscilloscope, generating waveforms to test the frequency of electrical equipment.
data-acquisition-systems-accessories	Data acquisition systems and accessories monitor and store data readings from various sensors and equipment for later analysis and review.
spectrum-analyzers-accessories	Spectrum analyzers and accessories identify transient or short-lived issues to ensure that equipment is operating correctly.
process-pressure-calibration	Process and pressure calibration verifies the measurement accuracy of the pressure or flow rate of enclosed systems like pipes, test valves, transducers, and pressure transmitters.
calibrators-accessories	Calibrators and accessories test or enable testing of process transmitters, electrical equipment, or test valves to verify they operate or measure within acceptable parameters.
ultrasonic-flowmeters-accessories	Ultrasonic flowmeters and accessories determine flow rate through the wall of a pipe by emitting an ultrasonic signal and reading the acoustic reflection of that signal.
panel-mount-tachometers	Panel mount tachometers mount into equipment racks and panels to measure and display the rotational speed of the monitored equipment.
tools	Tools install fasteners, make cuts, form materials, take measurements, and perform various other tasks at jobsites and in production environments.
hand-tools	Hand tools operate manually to complete maintenance, repair, and construction tasks.
wrenches	Wrenches are tools used for gripping and turning objects such as pipe and fasteners.
screwdrivers-nut-drivers-keys	Screwdrivers, nut drivers, and keys turn various types of fasteners.
ratchets-drive-tools	Ratchets and drive tools hold sockets and bit sockets to turn nuts, bolts, and other fasteners for installation and removal.
pliers	Pliers squeeze their jaws together to grip or cut.
hammers	Hammers strike objects and surfaces to drive fasteners, position parts, remove material, shape metal, and more.
punching-tools-chisels	Punching tools and chisels strike their tip or cutting edge against workpieces to make holes or cuts, shape or remove material, and set parts in place.
files	Files slide their cutting faces along workpiece surfaces to smooth and shape them.
pryers-pullers	Pryers and pullers move, remove, or position parts and materials.
scissors-snips-cutting-tools	Scissors, snips, and cutting tools use one or more blades to cut a variety of materials.
knives-blades	Knives and blades make cuts in a variety of materials.
hand-saws-blades	Hand saws cut material layer by layer as they move their toothed blade back and forth.
clamps	Clamps grip workpieces together or press them against a work surface.
vises-anvils	Vises and anvils complement each other to provide a workholder and a work surface in maintenance and repair, metalworking, fabrication, blacksmithing, and woodworking applications.
hand-nailers-staplers-riveting-tools	Hand nailers, staplers, and riveting tools drive fasteners to secure and join materials.
electrical-data-hand-tools	Electrical and data hand tools are used by electricians, network technicians, assembly line workers, and others who install and repair wire and cable.
pipe-hose-conduit-hand-tools	Benders create curves in tubing and pipe to route them around obstacles, fit them along corners, or align one length with another.
drain-cleaning-plumbing-hand-tools	These hand tools clean drains and keep plumbing in good repair.
wire-rope-swaging-tools	Hand-operated wire rope swaging tools compress swage sleeves and ferrules onto wire rope to create loops (eyes), join two lengths of rope, or form end stops.
sheet-metal-folders-crimpers	Sheet metal folders and crimpers bend and shape sheet metal for HVAC ductwork, roofing, and metal fabrication applications.
assorted-tool-sets-kits	Assorted tool sets and kits include various types of tools to perform a range of tasks or complete different steps in a process.
hand-tool-replacement-parts	Hand tool replacement parts change out worn or broken components to restore tool function.
inspection-retrieval-tools	Inspection and retrieval tools provide visibility into and around equipment, recover dropped parts, and collect metal debris.
scrapers-compound-spreading-hand-tools	Scrapers and compound-spreading hand tools remove surface coatings or apply substances to surfaces.
drywall-trowels-tapers-mud-pans	These drywall tools perform taping, mudding, and finishing tasks.
concrete-masonry-hand-tools	Concrete and masonry hand tools assist with forming and finishing flatwork or laying brick and stone.
asphalt-hand-tools	Asphalt hand tools clean up asphalt surfaces and apply crack fillers, sealcoatings, and other compounds that repair or prevent damage to pavement.
flooring-tile-carpet-hand-tools	Flooring, tile, and carpet hand tools speed the installation of floor coverings and ensure a proper fit and finished appearance.
bolt-screw-extractor-tools	Bolt and screw extractor tools remove broken bolts, screws, and studs when the head of a fastener has been damaged and can't be gripped.
power-tools	Power tools operate on electric or battery power to perform a variety of jobsite tasks.
cordless-tool-tracking-tags	Cordless tool tracking tags attach to power tools, ladders, carts, and other equipment to manage inventories, prevent loss, and save time finding tools.
cordless-tool-jobsite-fans	Cordless tool jobsite fans supply a personal, portable cooling source that runs on power tool batteries.
cordless-tool-batteries-power-accessories	Cordless tool batteries and power accessories keep tools powered and batteries charged.
cordless-tool-combination-kits	Combination kits include two or more cordless power tools plus accessories for performing different tasks.
cordless-tool-jobsite-radios-speakers	Cordless tool jobsite radios and speakers withstand rough conditions to provide work crews with music, entertainment, and news reports.
impact-wrenches-power-torque-wrenches-power-ratchets	Impact wrenches, power torque wrenches, and power ratchets use interchangeable sockets to turn nuts and bolts.
cordless-tool-lighting	Cordless tool lighting operates on power tool batteries to illuminate remote jobsites, emergency scenes, and other locations without access to wired power.
drills-drivers	Drills and drivers use interchangeable bits to make holes and turn fasteners.
grinders-cut-off-tools	Grinders and cut-off tools remove material and prepare surfaces for coating.
heat-guns-heat-blowers-hot-knives	Heat guns, heat blowers, and hot knives generate heat to melt, dry, soften, or cut through materials.
mud-mixers-concrete-vibrators	Mud mixers and concrete vibrators produce a thorough, cavity-free concrete mix that sets properly, forms a strong bond with rebar, and remains structurally sound.
power-planers-jointers-joiners	Power planers, jointers, and joiners flatten, shape, and slot wood workpieces to prepare them for assembly.
electrician-s-power-tools	Electrician's power tools install and connect wire and cable to set up and maintain electrical, data, and telecom systems.
plumbing-power-tools	Plumbing power tools restore flow in pipe and join or repair pipe to set up and maintain piping systems.
power-punching-tools	Power punching tools produce striking force for making holes or press fitting materials.
sanding-finishing-tools	Power sanders and finishing tools use abrasives that remove material and refine surfaces to prepare for coatings or create a final finish.
engravers-accessories	Engravers carve letters, numbers, and designs into surfaces to mark tools, equipment, and materials for ownership and inventory control.
power-saws-blades	Power saws use power saw blades to cut wood, metal, plastic, and other materials.
power-shears-nibblers	Power shears and nibblers make straight or curved cuts in sheet metal or other thin materials.
nail-guns-staple-guns-rivet-tools	Nail guns, staple guns, and rivet tools set fasteners to join or secure materials.
rebar-tying-tools-cutters-benders	Rebar tying tools, cutters, and benders fasten, size, and shape reinforcing bars ahead of concrete placement.
rotary-hammers-demolition-hammers-breaker-hammers	Rotary, demolition, and breaker hammers deliver high-impact power for drilling or chiseling concrete and masonry—producing more force and faster material removal than hammer drills.
routers-bits-wood-shapers	Routers, bits, and wood shapers remove material from wood workpieces to cut and shape them.
dust-collectors-extractors	Dust collectors and extractors capture airborne dust from cutting, drilling, grinding, and other material-removal tasks, reducing respiratory hazards and surface buildup.
power-tool-replacement-parts	Power tool replacement parts change out worn or broken components to restore tool function.
rotary-tools-oscillating-tools-cut-out-tools	Rotary, oscillating, and cut-out tools perform surface prep and finishing work on small areas and workpieces.
woodturning-lathes	Woodturning lathes shape wood and resin into cylindrical workpieces, such as spindles, dowels, and table legs.
railroad-power-tools	Railroad power tools are designed for use in the railroad industry.
measuring-layout-tools	Measuring and layout tools take dimensional, distance, and alignment readings for building, design, and maintenance tasks.
rail-track-gauges	Rail track gauges are precision measuring tools that ensure rail tracks are properly spaced and level.
tape-measures	Tape measures extend their blade for measuring and retract their blade for storage.
long-reeled-measuring-tapes	Long and reeled measuring tapes have an extra-long blade to take measurements that are beyond the capacity of standard tape measures.
adhesive-tape-measures	Adhesive tape measures stick to counters, workbenches, walls, machine frames and other smooth, flat surfaces where length measurements are frequently made.
oil-gauging-tapes	Oil gauging tapes insert their measuring blade into storage tanks to check liquid levels.
measuring-wheels-accessories	Measuring wheels roll along surfaces to take readings over long distances that are beyond the capacity of reeled tape measures and measuring ropes.
distance-meters-accessories	Distance meters aim a laser beam from one point to another to measure the length in between without the hassle of laying out measuring tape or rolling a measuring wheel.
rulers	Rulers provide a graduated scale to measure the length of small objects and surfaces.
levels-plumb-bobs	Levels and plumb bobs indicate whether surfaces are horizontally even (level) and vertically straight (plumb).
laser-levels	Laser levels project light beams to guide alignment, layout, leveling, and plumbing tasks across longer distances and with more repeatability than traditional levels.
squares-angle-finders	Squares and angle finders measure and transfer angles in building and layout applications.
length-measuring-machines	Length measuring machines are mechanical devices that measure the length of materials for manufacturing, production, retail, and field applications.
marking-tools	Marking tools add lines, symbols, and other marks to identify items, indicate status, and organize stock.
sockets-bits	Sockets and bits pair with drive tools to turn fasteners for installation and removal.
sockets-sets	Sockets grip fully around fastener heads for a secure hold during tightening and loosening.
bit-sockets-sets	Bit sockets and sets have a socket end that connects to a drive tool and a tip that slots into a screwhead drive for tightening and loosening fasteners.
socket-adapters-extensions-accessories	Socket adapters, extensions, and accessories convert sockets and drive tools to different drive sizes or shapes, increase their reach, or modify them for specific applications.
screwdriver-bits	Screwdriver bits pair with a driving tool and fit their tip into a screwhead drive to turn screws.
double-ended-driver-bits	Double-ended driver bits have a different tip size or style at each end so that a single bit can do double duty.
nutsetters-sets	Nutsetters and nutsetter sets pair with power tools and grip fastener heads by the flats to drive them faster and with more force (torque) than hand-driven tools.
bit-holders	Bit holders secure bits in the chuck of a power drill, power screwdriver, or other compatible power tool.
tool-storage	Tool storage products keep tools and supplies organized and ready for a job.
jobsite-boxes-cabinets	Jobsite boxes and cabinets provide ample space to gather and secure tools and equipment at worksites.
tool-cabinets-chests-carts	Tool cabinets, chests, and carts have ample room to store tools and supplies and keep them ready for use within facilities.
modular-tool-storage-systems	Modular tool storage systems consist of stackable, interlocking components for creating custom storage that can be reconfigured to meet various storage needs.
tool-backpacks-rolling-tool-bags	Tool backpacks and rolling tool bags are soft-sided with a large main compartment for ample storage space in a portable form.
tool-totes-wide-mouth-tool-bags	Tool totes and wide-mouth tool bags have a large center compartment that allows full access to select tools, parts, and supplies.
portable-tool-boxes-cases	Portable tool boxes and cases have a hard shell to protect their contents from damage, but they are light enough to carry or roll to the jobsite.
tool-pouches-holsters-sheaths	Tool pouches, holsters, and sheaths attach to belts or straps, adding storage space for tools, parts, and supplies.
tool-belts-aprons-suspenders-vests	Tool belts, aprons, suspenders, and vests allow workers to wear their tools.
flat-zippered-tool-bags	Flat zippered tool bags have a single pocket to store pencils, nuts, bolts, and other small tools and parts.
tool-organizers	Tool organizers sort and store tools on the job, in the workshop, or within larger tool storage units.
tool-storage-accessories	These accessories enhance the function of tool cabinets, boxes, and chests or keep them in good repair.
cordless-tool-battery-holders	Cordless tool and battery holders provide mounts for storing power tools and tool batteries.
tool-balancers-retractors-accessories	Tool balancers, retractors, and accessories position and secure pneumatic, electric, and hydraulic tools for assembly, fabrication, manufacturing, and packaging and shipping operations.
balancer-retractor-chains-cables-saddles	Chains, cables, and saddles prevent damage to balancers and retractors, reduce the risk of injuries to those working near them, or enhance their function to suit specific applications.
lanyards	Lanyards secure tools and materials directly to an individual working above the ground, keeping them within reach to enhance efficiency and prevent loss or injuries from dropped items.
welding	Welding and soldering are an integral part of manufacturing, construction, and pipeline maintenance that uses high heat to join two or more materials.
arc-welding	Arc welding uses an electrical arc to create strong joints on metal workpieces.
mig-welding	MIG (metal inert gas) welding uses consumable electrode wire to produce clean welds on workpieces in a wide range of thicknesses.
tig-welding	TIG welding creates clean, precise welds on a wide range of materials.
stick-welding	Stick welding uses consumable electrodes but does not require shielding gas, so it's more portable than MIG or TIG welding and can be done in windy outdoor areas
multiprocess-welders	Multiprocess welders are all-in-one power sources that can perform multiple welding applications, allowing operators to complete a variety of welding tasks without the time and expense of maintaining separate machines
engine-driven-welders-accessories	Engine-driven welders are portable standalone generators that provide power for stick, TIG, and MIG welding applications.
battery-powered-welders	Battery-powered welders are portable machines that can be used in remote locations where access to a mains power supply is limited.
welding-cobots	Welding cobots are semi-automated welding stations that connect to a welder.
welding-cable-connectors-cable-grounds	Welding cable, connectors, and cable grounds create a secure connection between welding equipment and a workpiece.
welder-remote-controls	Welder remote controls let operators adjust the output of a welding machine without moving away from the workpiece.
welder-covers	Welder covers slip over compatible welding machines when they're not in use.
welding-carts-running-gear	Welding carts and running gear are used to transport welding machines, gas cylinders, and other heavy equipment.
welding-coolant-systems-accessories	Welding coolant systems and accessories cool welding torches to extend their working life and improve weld quality.
welding-training-systems	Welding training systems consist of physical equipment that pairs with software to simulate a virtual welding environment.
filler-metals	Filler metals melt when heat is applied to provide material for joining or repairing metal workpieces in welding, brazing, and soldering applications.
stick-welding-electrodes	Stick welding electrodes have a metal core that melts and fuses with material from a workpiece to create a weld in SMAW (shielded metal arc welding) tasks.
welding-wire	Welding wire is fed through a welding gun to provide filler metal for creating joints on metal parts in MIG (metal inert gas) welding tasks.
tig-welding-rods	TIG (tungsten inert gas) rods provide filler metal for welding metal workpieces in GTAW (gas tungsten arc welding) tasks.
brazing-soldering-filler-metals	Brazing and soldering use heat and filler metals to join parts made from similar and dissimilar metals.
gas-welding-rods	These rods provide filler material for gas welding, which uses an oxygen and fuel gas mixture to create a high-heat flame at the tip of a gas welding torch.
gas-equipment	Oxy-fuel equipment mixes fuel gases such as acetylene, propane, propylene, or natural gas with a dedicated oxygen supply for high-temperature cutting, heating, and welding of ferrous metals.
oxy-fuel-equipment	Oxy-fuel equipment uses fuel gases like acetylene, propylene, and propane mixed with oxygen to create a hotter flame.
map-pro-propane-equipment	MAP-Pro and propane torches connect to handheld cylinders for brazing, soldering, and heating applications or to larger cylinders for brush burning, roofing, asphalt, and other outdoor applications.
air-acetylene-equipment	Air-acetylene torch kits mix acetylene with atmospheric air, with no additional oxygen tank required, and attain a target heat of around 2700 °F.
butane-torches-lighters	Torches and lighters use butane fuel, which is safe, non-toxic, and clean burning.
gas-regulators-flowmeters	Gas regulators control the pressure of gas.
gas-cylinders-accessories	Gas cylinders and canisters are used to safely store, transport, and dispense compressed gases.
flint-lighters	Flint lighters create a spark used to ignite a torch.
laser-welding	Laser welding uses a focused, high-energy beam of light to join metals or thermoplastics for applications requiring high precision.
laser-welders	Laser welders are precision tools that use a high-intensity beam of light to melt and fuse a part or workpiece.
plasma-cutting	Plasma cutting is a process where ionized compressed gas is used to make precise cuts in conductive materials.
plasma-cutters	Plasma cutters are used with plasma torches to make precise cuts in metal workpieces and conductive materials.
plasma-torch-consumables	Plasma torch consumables attach to compatible plasma torches to focus, shape, and control the stream of plasma that flows through the torches in plasma cutting tasks.
plasma-torches	Plasma torches connect to compatible plasma cutters to make precise cuts or gouges in metals such as steel, stainless steel, and aluminum.
plasma-cutting-guides	Cutting guides attach to compatible plasma torches to maximize precision and speed during plasma cutting tasks.
plasma-torch-adapter-kits	Plasma torch adapter kits include fittings for connecting plasma torches to plasma cutters that typically would not be compatible with the torches.
plasma-cutter-air-filters	Air filters install into plasma cutters to remove moisture and other impurities from the compressed air that goes into the cutters.
cnc-plasma-cutting-tables	CNC plasma cutting tables are used for making intricate and complex cuts in fabrication shops and other large-scale industrial applications.
soldering	Soldering is the process of forming a joint between two surfaces by heating a filler material (also known as solder wire or solder) at 840°F or lower until it flows between two surfaces and then cools to form a bond.
soldering-irons-accessories	Soldering irons are hand tools used to melt solder to flow into joints and bond workpieces together.
soldering-stations-accessories	Soldering and desoldering stations are benchtop machines that allow users to control and adjust the heat setting of soldering and desoldering irons.
desoldering-equipment	Desoldering equipment helps remove solder from workpieces.
soldering-desoldering-tip-cleaners	These cleaners remove flux residue from soldering and desoldering tips.
solder-pots	These pots keep molten solder at a consistent temperature for tinning wire leads, soldering iron tips, or small electrical components.
soldering-iron-testers-thermometers	Soldering iron testers and thermometers measure tip temperature, leak voltage, and iron temperature.
